year_quarter,year,quarter,region_en,region_ar,classification_ar,classification_en,transaction_count,median_price,median_area,median_price_per_m2,avg_price,avg_area,total_value
202003.0,2020.0,3.0,Hail,منطقة حائل,زراعي,Agricultural,434,70000.0,100000.0,1.0,134218.0,219367.8,58250698.0
202003.0,2020.0,3.0,Asir,منطقة عسير,زراعي,Agricultural,115,100000.0,7841.0,25.0,310571.0,15767.1,35715681.0
202003.0,2020.0,3.0,Northern Borders,منطقة الحدود الشمالية,زراعي,Agricultural,25,50000.0,175000.0,0.0,68640.0,144579.0,1716000.0
202003.0,2020.0,3.0,Najran,منطقة نجران,زراعي,Agricultural,61,90000.0,50000.0,2.0,309984.0,43037.1,18909000.0
202003.0,2020.0,3.0,Qassim,منطقة القصيم,سكني,Residential,5370,100000.0,534.3,195.0,172241.0,824.0,924936019.0
202003.0,2020.0,3.0,Hail,منطقة حائل,سكني,Residential,1835,95000.0,588.0,167.0,164345.0,747.2,301573900.0
202003.0,2020.0,3.0,Al Baha,منطقة الباحة,سكني,Residential,567,95000.0,625.0,156.0,147810.0,691.2,83808462.0
202003.0,2020.0,3.0,Najran,منطقة نجران,سكني,Residential,1296,90000.0,750.0,120.0,110446.0,787.7,143138622.0
202003.0,2020.0,3.0,Asir,منطقة عسير,سكني,Residential,3928,115000.0,605.0,200.0,229241.0,774.1,900458184.0
202003.0,2020.0,3.0,Northern Borders,منطقة الحدود الشمالية,سكني,Residential,1703,80000.0,630.0,122.0,115890.0,667.1,197361394.0
202003.0,2020.0,3.0,Makkah,منطقة مكة المكرمة,سكني,Residential,10500,300000.0,600.0,560.0,579560.0,712.4,6085383961.0
202003.0,2020.0,3.0,Riyadh,منطقة الرياض,سكني,Residential,16802,225000.0,600.0,400.0,557463.0,722.4,9366501378.0
202003.0,2020.0,3.0,Jazan,منطقة جازان,سكني,Residential,1753,140000.0,640.0,210.0,174178.0,700.4,305334696.0
202003.0,2020.0,3.0,Eastern Province,منطقة الشرقية,سكني,Residential,6586,250000.0,500.0,460.0,443684.0,648.2,2922101214.0
202003.0,2020.0,3.0,Tabuk,منطقة تبوك,سكني,Residential,1128,227750.0,630.0,320.0,249308.0,688.0,281219971.0
202003.0,2020.0,3.0,Al Jouf,منطقة الجوف,سكني,Residential,1456,105000.0,630.0,175.0,153701.0,749.9,223788922.0
202003.0,2020.0,3.0,Madinah,منطقة المدينة المنورة,سكني,Residential,2222,300000.0,600.0,503.0,413794.0,612.3,919450122.0
202004.0,2020.0,4.0,Riyadh,منطقة الرياض,تجاري,Commercial,2249,600000.0,786.5,956.0,3027698.0,4113.4,6809291889.0
202004.0,2020.0,4.0,Najran,منطقة نجران,تجاري,Commercial,280,50000.0,800.0,64.0,139146.0,1481.6,38960916.0
202004.0,2020.0,4.0,Asir,منطقة عسير,تجاري,Commercial,471,100000.0,600.0,167.0,297505.0,708.0,140124774.0
202004.0,2020.0,4.0,Madinah,منطقة المدينة المنورة,تجاري,Commercial,448,514285.0,645.1,892.0,761214.0,796.3,341023666.0
202004.0,2020.0,4.0,Al Jouf,منطقة الجوف,تجاري,Commercial,264,70000.0,630.0,100.0,241144.0,26124.0,63662010.0
202004.0,2020.0,4.0,Al Baha,منطقة الباحة,تجاري,Commercial,13,45000.0,623.0,80.0,96423.0,813.6,1253500.0
202004.0,2020.0,4.0,Eastern Province,منطقة الشرقية,تجاري,Commercial,2114,330000.0,690.0,481.0,1894276.0,8092.7,4004499629.0
202004.0,2020.0,4.0,Hail,منطقة حائل,تجاري,Commercial,379,80000.0,707.3,119.0,181666.0,1608.1,68851373.0
202004.0,2020.0,4.0,Tabuk,منطقة تبوك,تجاري,Commercial,625,282975.0,640.0,405.0,550572.0,863.5,344107638.0
202004.0,2020.0,4.0,Jazan,منطقة جازان,تجاري,Commercial,120,200000.0,640.0,313.0,832814.0,2316.2,99937637.0
202004.0,2020.0,4.0,Northern Borders,منطقة الحدود الشمالية,تجاري,Commercial,216,50000.0,690.9,79.0,111603.0,712.3,24106176.0
202004.0,2020.0,4.0,Qassim,منطقة القصيم,تجاري,Commercial,754,138000.0,658.8,202.0,915446.0,7308.3,690246418.0
202004.0,2020.0,4.0,Makkah,منطقة مكة المكرمة,تجاري,Commercial,1749,600000.0,800.0,749.0,1694713.0,1892.9,2964052642.0
202004.0,2020.0,4.0,Hail,منطقة حائل,زراعي,Agricultural,403,40000.0,100000.0,0.0,113254.0,265074.6,45641194.0
202004.0,2020.0,4.0,Eastern Province,منطقة الشرقية,زراعي,Agricultural,252,307500.0,50000.0,29.0,2386859.0,96503.2,601488544.0
202004.0,2020.0,4.0,Al Baha,منطقة الباحة,زراعي,Agricultural,30,39000.0,990.1,28.0,63000.0,8670.1,1890005.0
202004.0,2020.0,4.0,Tabuk,منطقة تبوك,زراعي,Agricultural,44,147500.0,50000.0,2.0,787500.0,197359.1,34650000.0
202004.0,2020.0,4.0,Jazan,منطقة جازان,زراعي,Agricultural,45,200000.0,8069.6,36.0,614863.0,15206.9,27668821.0
202004.0,2020.0,4.0,Northern Borders,منطقة الحدود الشمالية,زراعي,Agricultural,14,35000.0,187500.0,0.0,41143.0,137460.7,576000.0
202004.0,2020.0,4.0,Makkah,منطقة مكة المكرمة,زراعي,Agricultural,77,200000.0,10550.2,20.0,580166.0,22792.5,44672775.0
202004.0,2020.0,4.0,Qassim,منطقة القصيم,زراعي,Agricultural,193,200000.0,50000.0,8.0,632275.0,133055.3,122029107.0
202004.0,2020.0,4.0,Najran,منطقة نجران,زراعي,Agricultural,87,85000.0,50000.0,2.0,1194425.0,50257.8,103914948.0
202004.0,2020.0,4.0,Al Jouf,منطقة الجوف,زراعي,Agricultural,115,90000.0,65646.0,1.0,222371.0,161851.8,25572683.0
202004.0,2020.0,4.0,Riyadh,منطقة الرياض,زراعي,Agricultural,1933,200000.0,5000.0,44.0,765182.0,64506.8,1479096323.0
202004.0,2020.0,4.0,Asir,منطقة عسير,زراعي,Agricultural,89,50000.0,11349.9,4.0,282693.0,18375.5,25159663.0
202004.0,2020.0,4.0,Madinah,منطقة المدينة المنورة,زراعي,Agricultural,80,100000.0,30000.0,3.0,1527786.0,51451.8,122222867.0
202004.0,2020.0,4.0,Riyadh,منطقة الرياض,سكني,Residential,23916,277572.0,600.0,480.0,554408.0,714.7,13259215224.0
202004.0,2020.0,4.0,Qassim,منطقة القصيم,سكني,Residential,5883,123380.0,502.2,240.0,190948.0,779.5,1123348781.0
202004.0,2020.0,4.0,Makkah,منطقة مكة المكرمة,سكني,Residential,12844,370000.0,620.0,667.0,633845.0,710.8,8141105223.0
202004.0,2020.0,4.0,Al Jouf,منطقة الجوف,سكني,Residential,1554,81000.0,630.0,125.0,123992.0,665.8,192683407.0
202004.0,2020.0,4.0,Najran,منطقة نجران,سكني,Residential,1399,40000.0,742.5,57.0,85921.0,746.6,120203440.0
202004.0,2020.0,4.0,Tabuk,منطقة تبوك,سكني,Residential,1409,160000.0,625.5,250.0,213217.0,644.1,300423126.0
202004.0,2020.0,4.0,Northern Borders,منطقة الحدود الشمالية,سكني,Residential,1614,50000.0,630.0,69.0,87150.0,658.8,140660906.0
202004.0,2020.0,4.0,Jazan,منطقة جازان,سكني,Residential,1743,130000.0,640.0,208.0,201215.0,661.5,350717396.0
202004.0,2020.0,4.0,Eastern Province,منطقة الشرقية,سكني,Residential,9233,281622.0,590.0,500.0,484812.0,638.6,4476269751.0
202004.0,2020.0,4.0,Hail,منطقة حائل,سكني,Residential,2445,92000.0,560.0,150.0,152773.0,820.4,373529693.0
202004.0,2020.0,4.0,Madinah,منطقة المدينة المنورة,سكني,Residential,2701,370000.0,575.0,769.0,516472.0,811.2,1394991850.0
202004.0,2020.0,4.0,Asir,منطقة عسير,سكني,Residential,3958,150000.0,600.0,232.0,261836.0,837.0,1036345285.0
202004.0,2020.0,4.0,Al Baha,منطقة الباحة,سكني,Residential,500,60000.0,600.0,108.0,174719.0,693.8,87359457.0
202101.0,2021.0,1.0,Hail,منطقة حائل,تجاري,Commercial,430,92500.0,750.0,118.0,241719.0,1999.7,103939374.0
202101.0,2021.0,1.0,Al Jouf,منطقة الجوف,تجاري,Commercial,293,75000.0,600.9,120.0,133758.0,7896.0,39191206.0
202101.0,2021.0,1.0,Najran,منطقة نجران,تجاري,Commercial,336,50000.0,800.0,53.0,104327.0,1031.5,35054000.0
202101.0,2021.0,1.0,Al Baha,منطقة الباحة,تجاري,Commercial,25,50000.0,472.0,111.0,101120.0,506.4,2528000.0
202101.0,2021.0,1.0,Asir,منطقة عسير,تجاري,Commercial,510,100000.0,625.0,138.0,287001.0,798.0,146370392.0
202101.0,2021.0,1.0,Qassim,منطقة القصيم,تجاري,Commercial,846,125000.0,655.7,172.0,388807.0,7503.1,328930639.0
202101.0,2021.0,1.0,Eastern Province,منطقة الشرقية,تجاري,Commercial,2250,321875.0,690.0,500.0,957023.0,1466.8,2153301377.0
