city,region_en,region_ar,base_year,latest_year,year_span,base_transactions,latest_transactions,base_value,latest_value,latest_median_price,latest_median_price_per_m2,transaction_cagr,value_cagr,growth_rank
الحجره,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,30,13,2147647.0,771248.0,50000.0,70.46979865771812,-0.154,-0.1852,86
ابقيق,Eastern Province,منطقة الشرقية,2020.0,2025.0,5.0,1066,458,188848254.0,176200284.0,167500.0,325.0,-0.1555,-0.0138,87
عفيف,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,2031,868,205415799.0,86170545.0,10000.0,31.746031746031747,-0.1564,-0.1595,88
العيدابي,Jazan,منطقة جازان,2020.0,2025.0,5.0,96,41,16571733.0,9698593.0,160000.0,330.57851239669424,-0.1565,-0.1016,89
محايل عسير,Asir,منطقة عسير,2020.0,2025.0,5.0,1377,587,393769839.0,172317498.0,200000.0,375.0,-0.1568,-0.1523,90
البدائع,Qassim,منطقة القصيم,2020.0,2025.0,5.0,1977,824,272726974.0,106204358.0,70000.0,116.78082191780823,-0.1606,-0.1719,91
العارضه,Jazan,منطقة جازان,2020.0,2025.0,5.0,17,7,2513000.0,712857.0,100000.0,58.8235294117647,-0.1626,-0.2227,92
احد رفيده,Asir,منطقة عسير,2020.0,2025.0,5.0,1005,398,425687980.0,180096681.0,400000.0,888.8888888888889,-0.1691,-0.1581,93
الارطاويه,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,268,106,28730165.0,17348889.0,82500.0,80.06410256410257,-0.1693,-0.096,94
وادي الدواسر,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,717,282,102971574.0,53478113.0,100000.0,120.97560975609755,-0.1703,-0.1228,95
نجران,Najran,منطقة نجران,2020.0,2025.0,5.0,4316,1697,680364288.0,537020590.0,120000.0,186.66666666666666,-0.1703,-0.0462,96
النبهانيه,Qassim,منطقة القصيم,2020.0,2025.0,5.0,212,83,10973217.0,12561544.0,65000.0,96.36011150241474,-0.171,0.0274,97
بريده,Qassim,منطقة القصيم,2020.0,2025.0,5.0,13762,5331,4570587735.0,2859928312.0,269850.0,577.7777777777778,-0.1728,-0.0895,98
سكاكا,Al Jouf,منطقة الجوف,2020.0,2025.0,5.0,2690,1033,665470916.0,362832163.0,120000.0,183.33333333333334,-0.1742,-0.1142,99
المندق,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,16,6,3788679.0,3800000.0,175000.0,309.6074516003414,-0.1781,0.0006,100
الحائط,Hail,منطقة حائل,2020.0,2025.0,5.0,136,51,20776599.0,9607255.0,70000.0,125.0,-0.1781,-0.143,101
عنيزه,Qassim,منطقة القصيم,2020.0,2025.0,5.0,3210,1196,960643142.0,431785920.0,240000.0,506.20105404382764,-0.1792,-0.1478,102
ضرماء,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,1716,632,323726852.0,578719915.0,473750.0,297.09383303106915,-0.1811,0.1232,103
البكيريه,Qassim,منطقة القصيم,2020.0,2025.0,5.0,1401,493,244612494.0,141030818.0,141000.0,190.47619047619048,-0.1885,-0.1043,104
المزاحميه,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,2754,934,770017107.0,1140248450.0,623116.5,250.0,-0.1945,0.0817,105
الدوادمي,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,2803,946,333306932.0,206763437.0,100000.0,216.92528735632186,-0.1953,-0.0911,106
المهد,Madinah,منطقة المدينة المنورة,2020.0,2025.0,5.0,514,173,84485295.0,21087534.0,20000.0,30.721966205837173,-0.1957,-0.2424,107
ابو عريش,Jazan,منطقة جازان,2020.0,2025.0,5.0,2114,711,395752504.0,176541775.0,190000.0,309.375,-0.1958,-0.1491,108
سراة عبيده,Asir,منطقة عسير,2020.0,2025.0,5.0,355,116,53728820.0,17741842.0,87500.0,133.33333333333334,-0.2004,-0.1988,109
رماح,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,1222,393,204561896.0,118834559.0,230000.0,388.8888888888889,-0.203,-0.1029,110
الرس,Qassim,منطقة القصيم,2020.0,2025.0,5.0,1907,599,599486753.0,150313141.0,134000.0,342.749421610351,-0.2067,-0.2417,111
عرعر,Northern Borders,منطقة الحدود الشمالية,2020.0,2025.0,5.0,5345,1666,684607888.0,233852270.0,61000.0,98.65689865689866,-0.208,-0.1933,112
رفحاء,Northern Borders,منطقة الحدود الشمالية,2020.0,2025.0,5.0,999,304,235685062.0,77782607.0,70000.0,116.63922734438324,-0.2118,-0.1989,113
القواره,Qassim,منطقة القصيم,2020.0,2025.0,5.0,20,6,1041400.0,677500.0,37500.0,50.0,-0.214,-0.0824,114
الدرعيه,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,2041,606,3689954654.0,4039393164.0,2715000.0,1138.6666666666665,-0.2156,0.0183,115
النماص,Asir,منطقة عسير,2020.0,2025.0,5.0,126,36,32307725.0,9626883.0,105000.0,201.33538304812225,-0.2216,-0.2151,116
شروره,Najran,منطقة نجران,2020.0,2025.0,5.0,757,215,162177169.0,53088304.0,112500.0,197.33333333333334,-0.2226,-0.2002,117
صامطه,Jazan,منطقة جازان,2020.0,2025.0,5.0,622,174,116687146.0,59607163.0,215000.0,384.85002843062927,-0.2249,-0.1257,118
بلقرن,Asir,منطقة عسير,2020.0,2025.0,5.0,309,83,48113944.0,65733437.0,100000.0,154.28571428571428,-0.2312,0.0644,119
السليل,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,427,113,46222716.0,19653675.0,40000.0,31.746031746031747,-0.2335,-0.1572,120
العويقيله,Northern Borders,منطقة الحدود الشمالية,2020.0,2025.0,5.0,434,114,43861591.0,11040806.0,30000.0,55.99641645869329,-0.2346,-0.2411,121
العقيق,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,610,157,89572106.0,48499283.0,200000.0,278.9400278940028,-0.2377,-0.1155,122
العرضيه الجنوبيه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,51,13,3743000.0,2536275.0,50000.0,109.58904109589041,-0.2392,-0.0749,123
عقلة الصقور,Qassim,منطقة القصيم,2020.0,2025.0,5.0,442,112,25911653.0,7816372.0,35000.0,58.333333333333336,-0.2401,-0.2131,124
بارق,Asir,منطقة عسير,2020.0,2025.0,5.0,434,105,48698826.0,18879210.0,100000.0,152.38095238095238,-0.2471,-0.1726,125
القريات,Al Jouf,منطقة الجوف,2020.0,2025.0,5.0,2920,706,590833283.0,208004841.0,165000.0,258.5666254757414,-0.2472,-0.1884,126
المويه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,198,46,21518859.0,3243472.0,20000.0,20.476190476190474,-0.2532,-0.3151,127
فرسان,Jazan,منطقة جازان,2020.0,2025.0,5.0,87,20,9122000.0,2398642.0,100000.0,250.04761904761904,-0.2547,-0.2344,128
بيشه,Asir,منطقة عسير,2020.0,2025.0,5.0,2661,601,468721549.0,142026494.0,85000.0,111.11111111111111,-0.2574,-0.2124,129
الخرمه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,771,173,70232882.0,17586115.0,50000.0,71.42857142857143,-0.2584,-0.2419,130
يدمه,Najran,منطقة نجران,2020.0,2025.0,5.0,628,136,34840037.0,7175853.0,20000.0,25.0,-0.2636,-0.2709,131
الكامل,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,159,34,8602500.0,3435074.0,50000.0,81.34920634920636,-0.2655,-0.1677,132
ميسان,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,44,9,2658000.0,929948.0,50000.0,51.89036603464201,-0.272,-0.1894,133
المجارده,Asir,منطقة عسير,2020.0,2025.0,5.0,265,52,33645368.0,13124457.0,152500.0,198.44808891298453,-0.278,-0.1716,134
رجال المع,Asir,منطقة عسير,2022.0,2025.0,3.0,323,121,16370667.0,8954384.0,55000.0,84.45945945945945,-0.2791,-0.1822,135
ثار,Najran,منطقة نجران,2020.0,2025.0,5.0,259,50,15585046.0,2438857.0,10000.0,16.666666666666668,-0.2803,-0.3099,136
بحر ابو سكينه,Asir,منطقة عسير,2020.0,2025.0,5.0,38,7,5228573.0,839999.0,40000.0,33.83276945384244,-0.287,-0.3063,137
بدر الجنوب,Najran,منطقة نجران,2020.0,2025.0,5.0,45,8,4376153.0,603064.0,10000.0,15.041876046901173,-0.2921,-0.3272,138
ظهران الجنوب,Asir,منطقة عسير,2020.0,2025.0,5.0,330,58,32394843.0,4921763.0,34000.0,59.21454574086309,-0.2937,-0.314,139
قبه,Qassim,منطقة القصيم,2020.0,2025.0,5.0,209,36,25135509.0,3638500.0,20000.0,13.021112572167073,-0.2966,-0.3206,140
ضباء,Tabuk,منطقة تبوك,2020.0,2025.0,5.0,854,147,123700339.0,55244336.0,200000.0,476.1904761904762,-0.2966,-0.1489,141
تثليت,Asir,منطقة عسير,2020.0,2025.0,5.0,2566,427,188607139.0,29604782.0,20000.0,33.333333333333336,-0.3014,-0.3095,142
ضريه,Qassim,منطقة القصيم,2020.0,2025.0,5.0,386,64,44565997.0,6321460.0,10000.0,14.520953736241397,-0.3019,-0.3234,143
رنيه,Makkah,منطقة مكة المكرمة,2020.0,2025.0,5.0,1172,192,132879283.0,21079012.0,10000.0,21.37566482853134,-0.3036,-0.308,144
القرى,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,82,13,12583500.0,4001542.0,200000.0,144.27932477276005,-0.3081,-0.2048,145
الريث,Jazan,منطقة جازان,2020.0,2025.0,5.0,13,2,1646525.0,483703.0,241851.5,213.70036133767917,-0.3123,-0.2173,146
عرقه,Riyadh,منطقة الرياض,2020.0,2025.0,5.0,27,3,70559540.0,121291500.0,3625000.0,7250.0,-0.3556,0.1144,147
قلوه,Al Baha,منطقة الباحة,2020.0,2025.0,5.0,174,18,21280252.0,3637000.0,65000.0,75.66333808844507,-0.3648,-0.2977,148
الشقيق,Jazan,منطقة جازان,2020.0,2025.0,5.0,427,26,42181462.0,6601935.0,160000.0,172.22222222222223,-0.4286,-0.3099,149
