year,quarter,region_en,region_ar,transaction_count,total_value,median_price,median_price_per_m2,avg_deal_value
2025.0,3.0,Hail,منطقة حائل,2743,649830216.0,105000.0,142.85714285714286,236904.92745169523
2025.0,4.0,Hail,منطقة حائل,2575,688188879.0,100000.0,166.43365954330602,267257.81708737864
2020.0,1.0,Jazan,منطقة جازان,2045,539460740.0,140000.0,203.125,263794.98288508557
2020.0,2.0,Jazan,منطقة جازان,1414,471761047.0,215000.0,327.7529761904762,333635.81824611034
2020.0,3.0,Jazan,منطقة جازان,1918,361995755.0,145000.0,210.9375,188736.05578727843
2020.0,4.0,Jazan,منطقة جازان,1908,478323854.0,140000.0,208.33333333333334,250693.84381551362
2021.0,1.0,Jazan,منطقة جازان,2282,622867452.0,200000.0,279.86013986013984,272948.05083260295
2021.0,2.0,Jazan,منطقة جازان,1766,451841917.0,126750.0,199.0941616982313,255856.12514156286
2021.0,3.0,Jazan,منطقة جازان,1242,369948112.0,200000.0,298.6222578919208,297864.82447665057
2021.0,4.0,Jazan,منطقة جازان,1321,494507842.0,220000.0,333.3333333333333,374343.5594246783
2022.0,1.0,Jazan,منطقة جازان,1247,513369447.0,248600.0,362.3188405797101,411683.5982357658
2022.0,2.0,Jazan,منطقة جازان,1035,444000852.0,260000.0,390.625,428986.3304347826
2022.0,3.0,Jazan,منطقة جازان,912,375722033.0,200000.0,333.3333333333333,411975.913377193
2022.0,4.0,Jazan,منطقة جازان,1027,392262333.0,242771.0,318.06379821958456,381949.69133398245
2023.0,1.0,Jazan,منطقة جازان,993,342349340.0,250000.0,360.0,344762.6787512588
2023.0,2.0,Jazan,منطقة جازان,918,340058790.95,280000.0,437.5,370434.41279956425
2023.0,3.0,Jazan,منطقة جازان,1043,406588326.14000005,200000.0,309.5975232198142,389825.81604985625
2023.0,4.0,Jazan,منطقة جازان,964,412071481.0,300000.0,390.625,427460.04253112036
2024.0,1.0,Jazan,منطقة جازان,905,369613357.0,237500.0,339.4685689307205,408412.54917127074
2024.0,2.0,Jazan,منطقة جازان,1958,701223802.0,300000.0,500.0,358132.68743615935
2024.0,3.0,Jazan,منطقة جازان,1142,366663503.0,220000.0,348.75653710057975,321071.3686514886
2024.0,4.0,Jazan,منطقة جازان,1416,512736632.0,246250.0,406.7885139313711,362102.1412429378
2025.0,1.0,Jazan,منطقة جازان,1457,575757406.0,270000.0,440.59795436664047,395166.3733699382
2025.0,3.0,Jazan,منطقة جازان,1247,378700927.0,200000.0,332.3363243602526,303689.5966319166
2025.0,4.0,Jazan,منطقة جازان,1228,394135761.0,200000.0,377.0645757786961,320957.46009771986
2020.0,1.0,Madinah,منطقة المدينة المنورة,3395,1937916323.0,360000.0,782.6086956521739,570814.8226804123
2020.0,2.0,Madinah,منطقة المدينة المنورة,1680,1357650052.0,485000.0,1017.6328984615075,808125.030952381
2020.0,3.0,Madinah,منطقة المدينة المنورة,2554,1062259898.0,300000.0,500.0,415920.08535630384
2020.0,4.0,Madinah,منطقة المدينة المنورة,3229,1858238383.0,378216.0,760.0837781230998,575484.1694022918
2021.0,1.0,Madinah,منطقة المدينة المنورة,3751,2020886882.0,389340.0,750.0,538759.4993335111
2021.0,2.0,Madinah,منطقة المدينة المنورة,2605,2295280635.0,395238.0,750.0,881105.8099808062
2021.0,3.0,Madinah,منطقة المدينة المنورة,2174,1212990115.0,300000.0,600.0,557953.134774609
2021.0,4.0,Madinah,منطقة المدينة المنورة,2797,2350409986.0,390000.0,748.446972531996,840332.4941008223
2022.0,1.0,Madinah,منطقة المدينة المنورة,3133,1947181935.0,400000.0,760.0,621507.1608681774
2022.0,2.0,Madinah,منطقة المدينة المنورة,2464,1787166223.0,372498.0,726.2742667348881,725310.9671266234
2022.0,3.0,Madinah,منطقة المدينة المنورة,2143,1256214174.0,315000.0,697.5446428571428,586194.2015865609
2022.0,4.0,Madinah,منطقة المدينة المنورة,2061,1633740127.0,390000.0,810.0,792692.9291606017
2023.0,1.0,Madinah,منطقة المدينة المنورة,2001,1560747202.0,390000.0,889.2154282539403,779983.6091954022
2023.0,2.0,Madinah,منطقة المدينة المنورة,1707,2188435658.71,452140.0,994.0,1282036.1210954892
2023.0,3.0,Madinah,منطقة المدينة المنورة,1842,1248481440.93,406250.0,883.8173622488171,677785.7985504887
2023.0,4.0,Madinah,منطقة المدينة المنورة,1923,1857750359.0,400000.0,945.0307134981887,966068.8294331774
2024.0,1.0,Madinah,منطقة المدينة المنورة,2323,1825891684.0,465000.0,1000.0,786005.8906586311
2024.0,2.0,Madinah,منطقة المدينة المنورة,4411,3263181960.0,425912.0,968.1010697516821,739782.8066198141
2024.0,3.0,Madinah,منطقة المدينة المنورة,2863,2189103993.0,500000.0,1142.9203458255756,764618.9287460706
2024.0,4.0,Madinah,منطقة المدينة المنورة,3749,2570026744.0,400000.0,972.2222222222222,685523.2712723393
2025.0,1.0,Madinah,منطقة المدينة المنورة,3414,2708129574.0,500000.0,1164.668995342648,793242.4059753955
2025.0,3.0,Madinah,منطقة المدينة المنورة,3647,2653977902.0,500000.0,1280.0,727715.3556347683
2025.0,4.0,Madinah,منطقة المدينة المنورة,2615,2055299091.0,450000.0,1151.808339092375,785965.2355640535
2020.0,1.0,Makkah,منطقة مكة المكرمة,13484,11219779264.0,360000.0,728.0,832080.9302877485
2020.0,2.0,Makkah,منطقة مكة المكرمة,7729,7846255454.0,500000.0,1126.5,1015170.8440936732
2020.0,3.0,Makkah,منطقة مكة المكرمة,11577,7674728554.0,311654.0,555.0,662928.9586248597
2020.0,4.0,Makkah,منطقة مكة المكرمة,14670,11149830640.0,400000.0,672.0581289736604,760042.9884117246
2021.0,1.0,Makkah,منطقة مكة المكرمة,15725,13014230637.0,400000.0,750.0,827614.0309697933
2021.0,2.0,Makkah,منطقة مكة المكرمة,10897,9387273399.0,415000.0,845.4106280193237,861454.8406900982
2021.0,3.0,Makkah,منطقة مكة المكرمة,9792,8430423927.0,400000.0,888.8888888888889,860950.1559436275
2021.0,4.0,Makkah,منطقة مكة المكرمة,12348,11437499041.0,487500.0,975.609756097561,926263.2848234532
2022.0,1.0,Makkah,منطقة مكة المكرمة,16410,16518525312.0,520000.0,1049.136529776466,1006613.3645338209
2022.0,2.0,Makkah,منطقة مكة المكرمة,11508,15550094222.0,530000.0,1237.0009302325582,1351242.111748349
2022.0,3.0,Makkah,منطقة مكة المكرمة,9473,10553407958.0,564000.0,1605.4940114953602,1114051.299271614
2022.0,4.0,Makkah,منطقة مكة المكرمة,9267,12619122818.0,562353.0,1726.274787535411,1361726.8606884645
2023.0,1.0,Makkah,منطقة مكة المكرمة,8004,10012710114.0,520000.0,1817.1434504958204,1250963.2826086956
2023.0,2.0,Makkah,منطقة مكة المكرمة,7779,8994055739.690014,540000.0,1973.25147993861,1156196.9070176133
2023.0,3.0,Makkah,منطقة مكة المكرمة,9557,14662473583.549984,550000.0,2116.4021164021165,1534212.9939886976
2023.0,4.0,Makkah,منطقة مكة المكرمة,9475,16801926677.0,540000.0,1841.8854841176772,1773290.4144591028
2024.0,1.0,Makkah,منطقة مكة المكرمة,10913,19975778602.0,550000.0,1943.1895538090228,1830457.1247136444
2024.0,2.0,Makkah,منطقة مكة المكرمة,18234,25110874395.0,590000.0,2235.63603845294,1377145.6836130307
2024.0,3.0,Makkah,منطقة مكة المكرمة,14458,15170987191.0,500000.0,1381.510494865061,1049314.3720431596
2024.0,4.0,Makkah,منطقة مكة المكرمة,13906,17624016570.0,550000.0,1826.031746031746,1267367.7959154323
2025.0,1.0,Makkah,منطقة مكة المكرمة,13089,16784076062.0,560000.0,2166.6666666666665,1282303.9240583696
2025.0,3.0,Makkah,منطقة مكة المكرمة,13202,17769607754.0,580000.0,2000.0,1345978.4694743222
